log_uso_id;usuario;opcion;fecha_hora;tipo_documento;numero_documento;pin;cliente_sospechoso;datos_anteriores
1;unleash Tailandia;Franc invoice Toallas;2022-02-03T19:25:02;Pasaporte;Algodón Innovador;Interno;Buckinghamshire SMS;Senda
2;adaptador;Versatil Para PCI;2022-02-03T16:53:29;CedulaCiudadania;Mobilidad División;Intuitivo Gris;Galicia incremental Buckinghamshire;card
3;transmitting Acero convergence;alto Futuro;2022-02-04T00:45:15;Pasaporte;mission-critical;withdrawal Bedfordshire Avanzado;Zimbabwe;Librería monitor Lats
4;Algodón e-services;Juguetería;2022-02-03T22:38:46;CedulaCiudadania;Hormigon hacking invoice;bypass withdrawal;Zapatos;conjunto Inversor Regional
5;strategize overriding one-to-one;CSS Relacciones;2022-02-03T16:43:41;CedulaCiudadania;Silla Representante;e-commerce;Edificio;European Informática Ensalada
6;generate mobile;impactful Atún JBOD;2022-02-03T17:09:30;Pasaporte;Consultor Mascotas;Acero La;generate Tunisian wireless;parsing
7;utilize;Administrador escalable;2022-02-04T05:21:37;Pasaporte;bypassing;Lugar heurística unleash;Franc Gorro;programming virtual Bedfordshire
8;multitarea;Música Creativo infraestructura;2022-02-03T16:33:23;CedulaCiudadania;Puerta mobile;Cine deliverables;Marca THX SAS;Gris
9;La;EXE Gorro;2022-02-03T10:44:20;CedulaCiudadania;de;PNG;maximize Borders;heurística efficient
10;Pequeño Nigeria Granito;metrics;2022-02-03T08:20:38;Pasaporte;Escalinata;Bangladesh Dollar;XSS;Pollo connect
